Number,Rooms,Square,Price,Metro,Address,Url
696,2-к квартира,42.0,4050000,Проспект Ветеранов ,"ул Солдата Корзуна, 19",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_42_m_45_et._1046432838
138,Студия,27.4,2600000,Лесная ,"Кондратьевский пр., д. 68, корп. 3, лит. М",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27.4_m_1424_et._1203160192
457,3-к квартира,114.7,12400000,Василеостровская ,"13-я В.О. линия, 30",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_114.7_m_36_et._996047006
344,2-к квартира,62.0,8000000,Черная речка ,"Земледельческая улица, д.5",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_62_m_1820_et._1223877086
192,Студия,25.0,1970000,Проспект Ветеранов ,"Ветеранов пр, 169",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_212_et._1064921655
593,1-к квартира,29.4,3590000,Площадь Мужества ,"пр-кт. Тореза, 40, к. 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_29.4_m_79_et._1076748094
182,1-к квартира,35.0,3200000,Улица Дыбенко ,Октябрьская набережная,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_1225_et._925312990
544,1-к квартира,30.7,3100000,Девяткино ,Графская улица,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_30.7_m_1521_et._1028233269
411,Студия,23.6,1910000,Старая деревня ,"ул Полевая Сабировская, 45",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23.6_m_821_et._1102254697
481,1-к квартира,37.7,2900000,Купчино ,"Санкт-Петербург, пос. Шушары, ул. Полоцкая, д. 4, к. 2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_37.7_m_24_et._1160343902
628,2-к квартира,52.0,4550000,Проспект Большевиков ,"ул Ленская,д.19,к.2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_52_m_312_et._925107936
427,3-к квартира,65.4,7500000,Балтийская ,"ул восьмая Красноармейская, 19",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_65.4_m_25_et._1163855425
586,2-к квартира,65.6,7320000,Василеостровская ,"Россия, Санкт-Петербург, улица Одоевского",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_65.6_m_410_et._1080209988
69,Студия,25.0,1600000,Комендантский проспект ,"Комендантский проспект, 53к1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_419_et._936351353
622,3-к квартира,55.0,5150000,Удельная ,"Фермское шоссе, дом 36, корпус 6",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_55_m_55_et._1071862799
203,Студия,25.3,3161000,Балтийская ,ул Красуцкого,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25.3_m_810_et._971703362
57,1-к квартира,36.7,5630276,Фрунзенская ,"Московский пр-кт, д.73 к.73 к. 3",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36.7_m_1319_et._994718263
489,1-к квартира,43.3,5070000,Звездная ,Среднерогатская д.8 к.1,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.3_m_821_et._1176468781
522,2-к квартира,68.0,4460000,Улица Дыбенко ,Дыбенко 26,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_68_m_1220_et._968638975
577,1-к квартира,30.7,2750000,Ломоносовская ,"ул Седова, 116",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_30.7_m_25_et._912886917
285,1-к квартира,33.0,3200000,Проспект Ветеранов ,"пр-кт. Народного Ополчения д. 241, корп. 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33_m_69_et._1190324394
741,6-к квартира,176.0,13185000,Черная речка ,"п. Репино, ш. Зеленогорское д. 12, корп. 31",https://www.avito.ru/sankt-peterburg/kvartiry/6-k_kvartira_176_m_33_et._893270649
537,Студия,36.0,4650000,Удельная ,"Костромской пр-кт, 14к2",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_36_m_89_et._942865179
400,1-к квартира,33.5,2512243,Рыбацкое ,ул. Заводская,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33.5_m_1524_et._1126888396
216,Студия,24.0,2180000,Девяткино ,Воронцовский бульвар,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24_m_1417_et._1044062365
141,2-к квартира,69.9,4767263,Нарвская ,"ул. Двинская, лит. 1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_69.9_m_813_et._1205042476
583,1-к квартира,35.0,3590000,Автово ,"улица Маршала Казакова, 78к1,",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_525_et._1176630857
655,1-к квартира,46.5,5750000,Площадь Восстания ,ул Кременчугская,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_46.5_m_710_et._1101977824
299,1-к квартира,35.2,2500000,Девяткино ,"Мурино, Воронцовский бульвар, д.1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35.2_m_112_et._1197030226
700,1-к квартира,36.0,3800000,Проспект Большевиков ,"ул Белышева, 5/6",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36_m_225_et._1011492385
127,1-к квартира,32.7,3090000,Парнас ,"п. Парголово, ул Федора Абрамова, д.16, корп.1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_32.7_m_2424_et._1043991244
688,2-к квартира,80.9,18999990,Петроградская ,"Россия, Санкт-Петербург, Большая Разночинная улица, 11",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_80.9_m_88_et._1173297721
614,4-к квартира,167.0,15890000,Площадь Восстания ,"Энгельса пр-кт, 16",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_167_m_910_et._989025865
334,2-к квартира,54.6,4200000,Купчино ,ул. Галицкая 19 к5,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54.6_m_15_et._1151460672
73,1-к квартира,41.3,4650000,Старая деревня ,"Оптиков ул, 45к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41.3_m_1516_et._1203226271
306,2-к квартира,83.5,15000000,Приморская ,"улица Одоевского, д.28",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_83.5_m_717_et._1204912717
41,2-к квартира,68.0,7890000,Улица Дыбенко ,"ул Крыленко, 13к4",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_68_m_310_et._1208387265
754,1-к квартира,35.0,3095000,Девяткино ,ул Менделеевская,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_1117_et._1130789734
27,1-к квартира,39.1,3890000,Автово ,"Маршала Жукова пр-кт, 18Д",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_39.1_m_1616_et._997957718
728,2-к квартира,44.3,4100000,Проспект Просвещения ,"Композиторов ул, 33/5",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_44.3_m_99_et._1082474431
719,Студия,24.7,2130000,Комендантский проспект ,"Комендантский пр-кт, 67",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24.7_m_525_et._1175267397
95,1-к квартира,38.0,2900000,Купчино ,"Колпино г, Тверская ул, 39",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_1010_et._1222847686
382,1-к квартира,47.0,6800000,Старая деревня ,"Приморский пр-кт, 52",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_47_m_1112_et._1044885467
209,1-к квартира,39.0,5400000,Пионерская ,"Серебристый б-р, 17к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_39_m_325_et._1163128474
191,Студия,37.0,4300000,Академическая ,"Северный пр., д. 75, к. 1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_37_m_1919_et._1103904259
478,Студия,20.6,1548000,Девяткино ,Петровский бульвар,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_20.6_m_619_et._1144270754
722,1-к квартира,38.0,3800000,Ленинский проспект ,"Ленинский пр-кт, д.78, к.1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_1618_et._1159894982
152,1-к квартира,49.0,12000000,Василеостровская ,2-я В.О. линия 15,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_49_m_46_et._1195101253
637,2-к квартира,70.0,12900000,Крестовский остров ,"ул Пионерская, 50",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_70_m_610_et._1130048819
469,1-к квартира,34.0,3540000,Международная ,"ул Будапештская,",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34_m_1720_et._1006337453
289,3-к квартира,74.0,6150000,Звездная ,Дунайский пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_74_m_1625_et._1105278060
417,Студия,29.0,2520000,Рыбацкое ,Советский (Усть-Славянка) пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_29_m_2525_et._1085204797
295,1-к квартира,45.4,3950000,Улица Дыбенко ,"Искровский пр-кт, 22",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_45.4_m_216_et._1008645972
571,1-к квартира,31.0,3000000,Московская ,"Краснопутиловская улица, 64",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31_m_25_et._1121368736
408,1-к квартира,45.5,4800000,Ломоносовская ,"Октябрьская набережная, д.126 к.2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_45.5_m_517_et._1212857389
165,1-к квартира,38.0,3600000,Московская ,"Россия, Санкт-Петербург, Пулковское шоссе, 14Е",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_1225_et._1085254554
493,1-к квартира,38.8,3860000,Пионерская ,"Коломяжский пр-кт, 13",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38.8_m_716_et._1069605236
619,4-к квартира,83.4,9000000,Комендантский проспект ,"Чкаловский пр-кт, 8",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_83.4_m_45_et._1054137229
516,1-к квартира,39.8,3299000,Парнас ,Заречная ул 45/1,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_39.8_m_1927_et._1009093492
538,3-к квартира,150.0,34900000,Чкаловская ,"ул Глухая Зеленина, 4",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_150_m_1012_et._1097353603
388,3-к квартира,70.9,7300000,Горьковская ,"ул Большая Посадская, 4",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_70.9_m_15_et._1148716440
376,1-к квартира,34.0,2664000,Девяткино ,"Петровский бульвар, 3к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34_m_912_et._594142103
651,1-к квартира,37.7,4370880,Фрунзенская ,"ул. Киевская, д. 5",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_37.7_m_18_et._950848567
442,3-к квартира,62.2,5598000,Московская ,ул. Образцовая,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_62.2_m_15_et._1043956803
443,1-к квартира,41.2,6533496,Фрунзенская ,"Московский пр., д. 73 корп. 4",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41.2_m_1519_et._948815974
234,1-к квартира,40.0,3950000,Проспект Ветеранов ,"пр. Народного Ополчения, д. 149, корп. 1.1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40_m_623_et._1123018352
347,3-к квартира,57.8,4800000,Улица Дыбенко ,"улица Подвойского, д.42",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_57.8_m_89_et._1093434014
325,2-к квартира,45.0,4500000,Улица Дыбенко ,"улица Шотмана, д.14",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_45_m_45_et._1127056275
763,5-к квартира,285.5,142750000,Звенигородская ,"набережная реки Фонтанки, д.76 к.2",https://www.avito.ru/sankt-peterburg/kvartiry/5-k_kvartira_285.5_m_79_et._943695344
33,4-к квартира,91.8,9400000,Приморская ,"Шевченко ул. , д. 21, корп. 1",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_91.8_m_59_et._1207050127
611,3-к квартира,140.0,21000000,Площадь Мужества ,"Институтский пр., 11",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_140_m_1416_et._939442385
118,2-к квартира,63.1,7324749,Приморская ,Макарова наб.,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_63.1_m_311_et._1112320944
128,2-к квартира,58.9,14000000,Парк Победы ,"пр. Юрия Гагарина, д.7",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_58.9_m_822_et._1127642208
371,3-к квартира,90.2,5305710,Ломоносовская ,"Русановская ул., д.19 .3 к.19 .3 к. 8",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_90.2_m_1324_et._1215572957
769,3-к квартира,72.0,5413000,Автово ,Петергофское шоссе,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_72_m_58_et._1063397511
687,3-к квартира,73.2,7500000,Политехническая ,"ул Веденеева, 4",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_73.2_m_612_et._1015974571
210,3-к квартира,66.0,4290000,Ленинский проспект ,"ул Рихарда Зорге, 15",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_66_m_612_et._1220083938
425,2-к квартира,60.8,7500000,Петроградская ,"ул Ординарная, 21",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60.8_m_78_et._1163692833
497,1-к квартира,34.0,2197555,Фрунзенская ,"Россия, Санкт-Петербург, Лиговский проспект, 265Б",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34_m_311_et._1111277776
635,2-к квартира,56.0,4200000,Девяткино ,"Мурино, шоссе в Лаврики 85",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_56_m_1418_et._1059672097
713,2-к квартира,45.0,3990000,Проспект Просвещения ,"Придорожная аллея, 5",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_45_m_69_et._947863166
466,2-к квартира,61.0,5200000,Купчино ,"п. Шушары, Вилеровский переулок пер 6",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_61_m_1418_et._1209280650
573,1-к квартира,33.0,3450000,Пионерская ,ул Парашютная,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33_m_1425_et._1068220664
199,1-к квартира,44.0,2980000,Московская ,"ш. Пулковское/Дунайское, корп. 5.2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_44_m_822_et._957309980
28,1-к квартира,31.0,3450000,Ладожская ,"Наставников пр-кт, 34",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31_m_1421_et._998419144
761,3-к квартира,75.0,3100000,Автово ,"Приморское шоссе, 68",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_75_m_22_et._899406920
372,2-к квартира,58.0,4033635,Рыбацкое ,"Заводская ул., д.15 К",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_58_m_924_et._1036926302
772,1-к квартира,43.5,4420000,Девяткино ,"Россия, Ленинградская область, Всеволожский район, посёлок Мурино, бульвар Менделеева",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.5_m_322_et._1002237208
171,3-к квартира,80.0,7980000,Комендантский проспект ,"Комендантский пр-кт, 20к3",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_80_m_716_et._1171064590
723,1-к квартира,43.7,5590000,Звездная ,"Московское шоссе, 16к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.7_m_19_et._941325967
47,2-к квартира,55.8,6322257,Лесная ,Кушелевская дорога,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_55.8_m_1023_et._1138660373
659,1-к квартира,41.0,5600000,Приморская ,"Россия, Санкт-Петербург, проспект КИМа, 19",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41_m_211_et._1121755794
491,1-к квартира,45.0,3950000,Старая деревня ,"СПб, Сестрорецк, ул. Николая Соколова, д. 30, ЖК ""Еловый дом""",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_45_m_24_et._1027941045
774,3-к квартира,70.0,9450000,Владимирская ,"Загородный пр-кт, 22",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_70_m_35_et._1189249534
7,4-к квартира,139.0,13790000,Комендантский проспект ,"Парашютная ул, 52",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_139_m_524_et._1189088526
532,Студия,21.0,2730000,Петроградская ,"ул Большая Монетная, 23",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_21_m_15_et._980411021
765,1-к квартира,44.0,4300000,Комендантский проспект ,"Комендантский пр., Дом 2.1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_44_m_512_et._1215518090
415,1-к квартира,37.6,7300000,Чкаловская ,"Резная улица, д.6",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_37.6_m_310_et._874219160
674,Студия,24.4,2300000,Комендантский проспект ,Ул. Парашютная/Шуваловский пр-т,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24.4_m_1424_et._1149085112
513,2-к квартира,42.5,3280000,Проспект Просвещения ,Песочный Ленинградская 58,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_42.5_m_12_et._1049565651
667,2-к квартира,55.9,5800000,Елизаровская ,"ул Невзоровой, 4",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_55.9_m_35_et._1186169462
720,Студия,25.9,1500000,Девяткино ,"ул. Шувалова, Корпус 2",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25.9_m_914_et._1068204996
50,2-к квартира,83.0,10700000,Черная речка ,"Приморский пр-кт, 43А",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_83_m_35_et._930338468
117,Студия,31.0,2234430,Рыбацкое ,"просп. Советский, Корпус 12",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_31_m_1227_et._1134060473
100,2-к квартира,73.2,7500000,Удельная ,"Новоколомяжский пр-кт, 13",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_73.2_m_1015_et._921379303
656,2-к квартира,36.0,1990000,Купчино ,"Колпинское шоссе, 23, корп. 4",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_36_m_23_et._1166733291
293,2-к квартира,57.5,4300000,Комендантский проспект ,"просп. Королева, Корпус 5",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_57.5_m_919_et._1124095467
175,2-к квартира,68.0,8300000,Площадь Восстания ,"Кременчугская улица, 9к2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_68_m_49_et._929063729
643,Студия,26.5,3325000,Ладожская ,"Россия, Санкт-Петербург, проспект Энергетиков",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26.5_m_321_et._1054173274
292,2-к квартира,74.0,6500000,Проспект Ветеранов ,"ул Партизана Германа, 13",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_74_m_79_et._1034081229
163,1-к квартира,29.5,2590000,Московская ,"ул. Переведенская, уч. 435",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_29.5_m_34_et._1018665613
414,2-к квартира,80.0,6799000,Старая деревня ,"Всеволода Боброва, д. 33, ЖК ""Лесная Дача""",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_80_m_24_et._792391712
278,3-к квартира,80.0,5359000,Ладожская ,"Красногвардейский район, Ковалевская ул, д.",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_80_m_117_et._817175891
176,Студия,27.0,2300000,Проспект Ветеранов ,"Санкт-Петербург, г. Петергоф, ул. Парковая, д.20",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_45_et._808596445
362,3-к квартира,99.0,12500000,Черная речка ,"ул Савушкина, 32А",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_99_m_36_et._968516371
540,2-к квартира,55.1,6230000,Сенная площадь ,ул Казанская д. 56,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_55.1_m_24_et._1182853818
385,3-к квартира,88.0,11000000,Петроградская ,"Каменноостровский проспект, д.64",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_88_m_35_et._1003471588
359,2-к квартира,48.1,4280900,Пролетарская ,бабушкина,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_48.1_m_1426_et._964845223
564,2-к квартира,54.7,5200000,Проспект Ветеранов ,ул Генерала Симоняка д.4 корп.5,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54.7_m_110_et._1034295489
75,2-к квартира,54.7,5399000,Комендантский проспект ,"Комендантский пр-кт, 32к1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54.7_m_116_et._1115959499
197,Студия,46.2,7028000,Площадь Восстания ,ул Кременчугская 13 кор 1,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_46.2_m_111_et._1057557500
451,3-к квартира,106.0,13200000,Озерки ,"Лиственная улица, д.18",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_106_m_2325_et._1167894668
545,1-к квартира,43.9,4400000,Комендантский проспект ,"Королева пр-кт, 63к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.9_m_925_et._1139959256
250,3-к квартира,108.0,20500000,Приморская ,"ул Капитанская, 4",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_108_m_45_et._1085249217
71,3-к квартира,59.6,5100000,Пионерская ,"Поликарпова аллея, 3к1",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_59.6_m_69_et._1093997117
396,2-к квартира,52.9,3250000,Гражданский проспект ,ул Руставели д.99,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_52.9_m_516_et._926828353
67,3-к квартира,80.0,4700000,Купчино ,"п. Шушары, Колпинское шоссе дом 36, корпус 1",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_80_m_19_et._1106515913
675,Студия,33.4,5590000,Площадь А. Невского II ,кремегчугкая,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_33.4_m_410_et._1190802433
39,1-к квартира,45.0,4450000,Международная ,"ул Малая Бухарестская, 10к2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_45_m_319_et._1191920404
46,Студия,25.8,2451011,Лесная ,Маршала Блюхера пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25.8_m_1824_et._987999998
379,Студия,24.6,2300000,Пролетарская ,ул Русановская улица 16/1,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24.6_m_1924_et._1026878551
350,1-к квартира,43.6,6450000,Петроградская ,"Россия, Санкт-Петербург, проспект Медиков, 10к7",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.6_m_813_et._1148979438
523,4-к квартира,171.5,9999000,Девяткино ,"Новое Девяткино, 75",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_171.5_m_23_et._1127695448
90,1-к квартира,44.0,5450000,Обводный канал ,"Лиговский пр-кт, 220B",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_44_m_26_et._974732361
281,Студия,26.4,2300000,Девяткино ,"Россия, Ленинградская область, Всеволожский район, посёлок Мурино, улица Шувалова, 5",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26.4_m_2123_et._945573141
271,Студия,25.0,3104000,Московская ,"Московский район, Дунайский пр-кт, д.",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_623_et._1022285865
682,2-к квартира,62.0,8900000,Автово ,Проспект Стачек дом 79,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_62_m_1010_et._1111754372
494,Студия,28.0,2465000,Рыбацкое ,"Россия, Санкт-Петербург, территория Усть-Славянка, Советский проспект",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_28_m_925_et._979658969
4,2-к квартира,50.0,4000000,Академическая ,Северный проспект дом 85 корпус 1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_50_m_99_et._954993240
543,Студия,24.9,2500000,Комендантский проспект ,"Комендантский проспект, д.71 к.0",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24.9_m_1125_et._939076429
406,3-к квартира,69.0,6300000,Старая деревня ,ул Камышоваядом 38/2,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_69_m_1117_et._1048260398
591,1-к квартира,31.3,3150000,Парнас ,"п. Парголово, ул Валерия Гаврилина дом 11 корпус 1 строение 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31.3_m_1826_et._1040956007
331,3-к квартира,96.6,13600000,Петроградская ,"Россия, Санкт-Петербург, проспект Медиков, 10к6",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_96.6_m_49_et._964137140
620,1-к квартира,35.9,3590000,Пионерская ,"Комендантский пр-т, Дом 3.2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35.9_m_1521_et._1065722795
424,3-к квартира,65.0,6270000,Старая деревня ,"г. Зеленогорск, ул Привокзальная д.3",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_65_m_56_et._1194734495
397,Студия,23.3,2470000,Звездная ,Дунайский пр-кт 14,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23.3_m_1522_et._1067218613
116,Студия,24.5,1221000,Ладожская ,Рябовское шоссе 135,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24.5_m_13_et._1210526481
381,4-к квартира,126.0,12995000,Площадь Восстания ,"улица Рылеева, д.17-19",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_126_m_35_et._993546981
706,Студия,32.0,3800000,Ленинский проспект ,"Ленинский пр-кт, 82к1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_32_m_617_et._1215577773
608,3-к квартира,127.0,14450000,Старая деревня ,"Приморский район, Новая ул., д.",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_127_m_44_et._1072320101
108,3-к квартира,62.0,3890000,Пролетарская ,"Октябрьская наб., д. 90к7",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_62_m_15_et._1086778278
510,2-к квартира,50.0,3150000,Московская ,"г. Пушкин, ул. Саперная, д.53",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_50_m_46_et._1131923146
683,2-к квартира,54.0,4800000,Ладожская ,"Ударников пр-кт, 43",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54_m_712_et._959633131
238,1-к квартира,41.8,4299000,Ладожская ,"Россия, Санкт-Петербург, Ириновский проспект, 27к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41.8_m_316_et._931776304
164,1-к квартира,41.4,6800000,Черная речка ,"Приморский, 52 к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41.4_m_1112_et._1204226712
662,Студия,14.1,1370000,Проспект Ветеранов ,"Авангардная улица, 11",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_14.1_m_15_et._1084741716
533,2-к квартира,54.0,5000000,Ленинский проспект ,"пр-т Героев, д. 23",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54_m_320_et._1106368114
