Number,Rooms,Square,Price,Metro,Address,Url
686,2-к квартира,52.0,5400000,Старая деревня ,"Яхтенная ул., д.6, корп.1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_52_m_112_et._1088652099
519,2-к квартира,62.0,6190000,Московская ,5-ый предпортовый проезд 12к1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_62_m_418_et._1157155511
147,Студия,30.0,3720000,Фрунзенская ,ул. Красуцкого,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_30_m_89_et._1185645406
546,3-к квартира,61.3,4900000,Озерки ,"Северный пр-кт, 6к1",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_61.3_m_39_et._1157844505
55,2-к квартира,55.0,4960000,Проспект Ветеранов ,"Народного Ополчения пр-кт, 149",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_55_m_1123_et._1048271891
35,Студия,26.9,2642000,Гражданский проспект ,"Гражданский пр-т, д. 107",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26.9_m_1023_et._1005954734
77,1-к квартира,33.2,3350000,Ленинский проспект ,"Маршала Захарова ул, 15",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33.2_m_89_et._931453352
565,2-к квартира,49.5,5050000,Удельная ,"Удельный пр-кт, 45",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_49.5_m_39_et._1028101331
300,Студия,19.3,3600000,Лиговский проспект ,"ул Социалистическая, 21",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_19.3_m_610_et._1166911061
677,4-к квартира,120.0,14400000,Сенная площадь ,Реки Фонтанки наб,https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_120_m_56_et._978503704
257,2-к квартира,70.0,5900000,Московские ворота ,"ул. Переведенская д.8, корпус 2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_70_m_55_et._1138427953
506,2-к квартира,62.0,4530000,Ленинский проспект ,"просп. Кузнецова, Корпус 4",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_62_m_1116_et._931845584
672,3-к квартира,85.0,9630000,Площадь Восстания ,"Кременчугская улица, 13к2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_85_m_610_et._1191180507
459,3-к квартира,91.7,10500000,Старая деревня ,"Стародеревенская улица, д.6 к.1",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_91.7_m_512_et._1165542581
231,2-к квартира,52.7,4532240,Комендантский проспект ,"пр-т Комендантский/Глухарская, Корпус 2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_52.7_m_327_et._1200033246
196,2-к квартира,56.0,6440000,Московская ,"ул Алтайская, 20/26",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_56_m_15_et._1172162265
60,1-к квартира,45.6,4284285,Ленинский проспект ,Балтийский б-р,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_45.6_m_1624_et._1179588415
460,2-к квартира,67.0,10000000,Василеостровская ,"Малый проспект Васильевского острова, д.64",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_67_m_59_et._920311703
606,1-к квартира,61.0,6958000,Московская ,"Московский район, Московский пр-кт, д.",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_61_m_618_et._1150653123
558,Студия,26.2,2550000,Ладожская ,"Екатерининский пр-кт д.2 ЖК ""Екатерининский""",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26.2_m_323_et._983629579
600,1-к квартира,38.0,3590000,Комендантский проспект ,"Шуваловский пр-кт, 51к2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_510_et._1099432804
632,2-к квартира,53.7,5300000,Ломоносовская ,Красных Зорь б-р,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_53.7_m_78_et._1091377559
717,Студия,28.0,2350000,Рыбацкое ,"Советский пр-т, Корпус 2.1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_28_m_725_et._1070878726
62,Студия,30.0,3690000,Проспект Большевиков ,"Союзный проспект, 12",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_30_m_725_et._1181445544
477,3-к квартира,72.9,5850000,Комендантский проспект ,"Сизова пр-кт, 20к2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_72.9_m_89_et._1131318920
410,2-к квартира,68.4,12500000,Старая деревня ,"Приморский проспект, д.52 к.1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_68.4_m_712_et._982232403
479,3-к квартира,50.0,4150000,Гражданский проспект ,"Гражданский пр-кт, д 125 к 2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_50_m_45_et._1032171047
668,1-к квартира,46.4,5700000,Василеостровская ,24 линия В.О.29,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_46.4_m_511_et._1187962561
